event_id,timestamp,user,source_ip,country,event_type,is_admin,notes,log_text
1,2025-05-20T08:12:03Z,jdoe,192.168.1.10,US,login_success,False,Normal login from office network,"User jdoe had a successful login from known location in US."
2,2025-05-20T08:15:44Z,jdoe,192.168.1.10,US,login_failure,False,Single failed password attempt,"User jdoe had 1 failed login attempt from known office IP."
3,2025-05-20T08:17:21Z,asmith,192.168.1.15,US,login_success,False,Normal usage,"User asmith logged in successfully from known device."
4,2025-05-20T09:01:02Z,svc_backup,10.0.0.5,US,login_success,False,Scheduled backup job,"Service account svc_backup logged in for scheduled backup."
5,2025-05-20T10:22:11Z,admin,185.23.44.10,DE,login_failure,True,Failed admin login from foreign IP,"Admin account admin had 3 failed login attempts from new location (DE) and unknown IP."
6,2025-05-20T10:24:35Z,admin,185.23.44.10,DE,login_failure,True,Repeated failures,"Admin account admin had 5 failed login attempts from foreign IP."
7,2025-05-20T10:26:02Z,admin,185.23.44.10,DE,login_success,True,Successful admin login after failures,"Admin account admin had multiple failed login attempts then a successful login from a new_country."
8,2025-05-20T11:03:55Z,knguyen,203.0.113.5,BR,login_failure,False,Unusual country,"User knguyen had 4 failed login attempts from new_country."
9,2025-05-20T11:05:12Z,knguyen,203.0.113.5,BR,login_failure,False,Continuing failures,"User knguyen had 2 more failed login attempts from same foreign IP."
10,2025-05-20T11:06:48Z,knguyen,203.0.113.5,BR,login_success,False,Possible compromised account,"User knguyen had multiple failed login attempts followed by a successful login from a new_country."
11,2025-05-20T12:30:03Z,jdoe,192.168.1.10,US,login_success,False,Normal behavior,"User jdoe logged in successfully from office IP."
12,2025-05-20T13:45:27Z,intern,198.51.100.12,US,login_failure,False,Typos likely,"Intern account had 2 failed login attempts from US IP, low risk pattern."
13,2025-05-20T14:05:49Z,root,45.33.21.9,RU,login_failure,True,Root login attempt from blacklisted region,"Root account had repeated failed login attempts from high-risk region."
14,2025-05-20T14:08:02Z,root,45.33.21.9,RU,login_failure,True,Continuing brute force,"Root account continues to see failed login attempts, potential brute force."
15,2025-05-20T14:10:30Z,root,45.33.21.9,RU,login_success,True,High-risk compromise scenario,"Root account had multiple failed login attempts then a successful login from a new_country."
